jahrgang,vorname,geschlecht,Anzahl
2015,Aaliyah,weiblich,1
2015,Ada,weiblich,2
2015,Adela,weiblich,1
2015,Adele,weiblich,2
2015,Adeline,weiblich,1
2015,Adriana,weiblich,2
2015,Adèle,weiblich,1
2015,Agnes,weiblich,1
2015,Aida,weiblich,2
2015,Aiko,weiblich,1
2015,Aino,weiblich,2
2015,Aisha,weiblich,3
2015,Ajla,weiblich,1
2015,Akira,weiblich,1
2015,Alba,weiblich,2
2015,Alea,weiblich,4
2015,Alena,weiblich,2
2015,Alessia,weiblich,6
2015,Alexa,weiblich,1
2015,Alexandra,weiblich,4
2015,Alexia,weiblich,1
2015,Alice,weiblich,6
2015,Alicia,weiblich,4
2015,Alicja,weiblich,1
2015,Alina,weiblich,11
2015,Aline,weiblich,7
2015,Alisa,weiblich,4
2015,Alissa,weiblich,1
2015,Aliya,weiblich,1
2015,Aliyah,weiblich,2
2015,Aliza,weiblich,2
2015,Alma,weiblich,6
2015,Alva,weiblich,5
2015,Alyssa,weiblich,1
2015,Amalia,weiblich,2
2015,Amaya,weiblich,1
2015,Amela,weiblich,1
2015,Amelia,weiblich,9
2015,Amelie,weiblich,5
2015,Amina,weiblich,3
2015,Amira,weiblich,7
2015,Amra,weiblich,1
2015,Amélie,weiblich,11
2015,Ana,weiblich,1
2015,Anabela,weiblich,1
2015,Anastasia,weiblich,3
2015,Anaïs,weiblich,2
2015,Andrina,weiblich,2
2015,Angela,weiblich,2
2015,Angeliki,weiblich,1
2015,Angelina,weiblich,2
2015,Anik,weiblich,1
2015,Anika,weiblich,1
2015,Anina,weiblich,1
2015,Anisa,weiblich,1
2015,Anita,weiblich,1
2015,Anja,weiblich,1
2015,Anna,weiblich,18
2015,Annabelle,weiblich,3
2015,Annalena,weiblich,1
2015,Anni,weiblich,1
2015,Annika,weiblich,3
2015,Annina,weiblich,3
2015,Anouk,weiblich,9
2015,Antonella,weiblich,1
2015,Antonia,weiblich,1
2015,Aria,weiblich,2
2015,Ariana,weiblich,4
2015,Arianna,weiblich,2
2015,Arsema,weiblich,2
2015,Ashley,weiblich,1
2015,Asia,weiblich,1
2015,Astrid,weiblich,1
2015,Asya,weiblich,1
2015,Aulona,weiblich,2
2015,Aurelia,weiblich,4
2015,Aurora,weiblich,4
2015,Aurélie,weiblich,3
2015,Ava,weiblich,12
2015,Aya,weiblich,2
2015,Ayana,weiblich,1
2015,Aylin,weiblich,3
2015,Ayse,weiblich,1
2015,Barbara,weiblich,2
2015,Beatrice,weiblich,2
2015,Beatriz,weiblich,3
2015,Bella,weiblich,1
2015,Berfin,weiblich,2
2015,Bernadette,weiblich,1
2015,Bianca,weiblich,1
2015,Bigna,weiblich,1
2015,Blanca,weiblich,1
2015,Béatrice,weiblich,1
2015,Camila,weiblich,2
2015,Camille,weiblich,1
2015,Carla,weiblich,5
2015,Carlota,weiblich,1
2015,Carlotta,weiblich,1
2015,Carmen,weiblich,1
2015,Carolina,weiblich,3
2015,Catalina,weiblich,2
2015,Catarina,weiblich,1
2015,Caterina,weiblich,1
